MeV	1/m/m/sr/s	1/m/m/sr/s/MeV
0.1	6.98E+09	4.64E+10
0.11	6.54E+09	3.99E+10
0.12	6.17E+09	3.47E+10
0.14	5.55E+09	2.71E+10
0.16	5.06E+09	2.19E+10
0.18	4.66E+09	1.81E+10
0.2	4.33E+09	1.53E+10
0.22	4.04E+09	1.31E+10
0.25	3.69E+09	1.07E+10
0.28	3.39E+09	8.88E+09
0.32	3.07E+09	7.14E+09
0.35	2.87E+09	6.17E+09
0.4	2.59E+09	4.95E+09
0.45	2.37E+09	4.08E+09
0.5	2.18E+09	3.42E+09
0.55	2.02E+09	2.92E+09
0.63	1.81E+09	2.33E+09
0.71	1.64E+09	1.90E+09
0.8	1.49E+09	1.55E+09
0.9	1.35E+09	1.27E+09
1	1.23E+09	1.06E+09
1.1	1.13E+09	8.99E+08
1.2	1.05E+09	7.73E+08
1.4	9.13E+08	5.91E+08
1.6	8.07E+08	4.67E+08
1.8	7.23E+08	3.78E+08
2	6.54E+08	3.13E+08
2.2	5.96E+08	2.63E+08
2.5	5.25E+08	2.09E+08
2.8	4.69E+08	1.69E+08
3.2	4.08E+08	1.33E+08
3.5	3.71E+08	1.13E+08
4	3.21E+08	8.85E+07
4.5	2.81E+08	7.14E+07
5	2.48E+08	5.90E+07
5.5	2.21E+08	4.96E+07
6.3	1.86E+08	3.80E+07
7.1	1.59E+08	2.91E+07
8	1.36E+08	2.23E+07
9	1.16E+08	1.72E+07
10	1.01E+08	1.36E+07
11	8.86E+07	1.11E+07
12	7.86E+07	9.12E+06
14	6.28E+07	6.59E+06
16	5.13E+07	4.99E+06
18	4.24E+07	3.91E+06
20	3.54E+07	3.04E+06
22	3.00E+07	2.41E+06
25	2.37E+07	1.77E+06
28	1.90E+07	1.33E+06
32	1.45E+07	9.46E+05
35	1.19E+07	7.51E+05
40	8.76E+06	5.16E+05
45	6.58E+06	3.54E+05
50	5.07E+06	2.53E+05
55	3.97E+06	1.86E+05
63	2.81E+06	1.04E+05
71	2.14E+06	6.24E+04
80	1.69E+06	3.76E+04
90	1.38E+06	2.52E+04
100	1.16E+06	1.77E+04
110	1.01E+06	1.28E+04
120	8.97E+05	1.00E+04
140	7.24E+05	7.20E+03
160	5.98E+05	5.43E+03
180	4.99E+05	4.49E+03
200	4.15E+05	3.90E+03
220	3.42E+05	3.43E+03
250	2.50E+05	2.67E+03
280	1.84E+05	1.77E+03
320	1.27E+05	1.09E+03
350	9.85E+04	7.82E+02
400	6.70E+04	4.78E+02
450	4.74E+04	3.10E+02
500	3.44E+04	2.10E+02
550	2.55E+04	1.46E+02
630	1.62E+04	8.66E+01
710	1.05E+04	5.44E+01
800	6.43E+03	3.64E+01
900	3.39E+03	2.44E+01
1000	1.32E+03	1.69E+01
