E     Emin  Emax     F    s_stat s_ana s_had (GeV-1_m-2_s-1_sr-1)
49.8  39.8  63.1     2.97 0.00 0.14 0.20  1.0e-1
78.9  63.1  100.0    8.43 0.00 0.40 0.56  1.0e-2
125.1 100.0 158.5    2.38 0.00 0.11 0.16  1.0e-2
198.3 158.5 251.2    6.64 0.00 0.31 0.44  1.0e-3
314.3 251.2 398.1    1.89 0.00 0.09 0.12  1.0e-3
498.1 398.1 631.0    5.39 0.01 0.25 0.36  1.0e-4
789.5 631.0 1000     1.60 0.00 0.07 0.11  1.0e-4
1251  1000  1585     4.81 0.01 0.23 0.33  1.0e-5
1983  1585  2512     1.45 0.01 0.07 0.13  1.0e-5
3143  2512  3981     4.45 0.02 0.21 0.44  1.0e-6
4981  3981  6310     1.36 0.01 0.06 0.13  1.0e-6
7895  6310  10000    4.06 0.04 0.19 0.40  1.0e-7
12512 10000 15849    1.20 0.02 0.06 0.12  1.0e-7
19830 15849 25119    3.35 0.07 0.17 0.33  1.0e-8
31429 25119 39811    9.03 0.26 0.48 0.89  1.0e-9
49812 39811 63096    2.47 0.11 0.15 0.24  1.0e-9
78946 63096 100000   6.50 0.40 0.50 0.64  1.0e-10
