E     Emin  Emax     F  s_stat s_ana s_had (GeV-1_m-2_s-1_sr-1)
79    68    93    5.261 0.025 0.295 0.684 1.0e-2
108   93    125   2.369 0.010 0.133 0.308 1.0e-2
146   125   171   1.066 0.004 0.060 0.139 1.0e-2
199   171   232   4.658 0.015 0.261 0.606 1.0e-3
270   232   316   2.022 0.007 0.113 0.263 1.0e-3
367   316   430   8.846 0.031 0.495 1.207 1.0e-4
499   430   584   3.894 0.014 0.218 0.467 1.0e-4
679   584   794   1.727 0.007 0.097 0.207 1.0e-4
923   794   1079  7.674 0.034 0.430 0.921 1.0e-5
1254  1079  1466  3.422 0.017 0.192 0.411 1.0e-5
1705  1466  1993  1.549 0.009 0.087 0.186 1.0e-5
2317  1993  2709  7.161 0.048 0.401 1.074 1.0e-6
3150  2709  3682  3.348 0.027 0.187 0.502 1.0e-6
4281  3682  5005  1.548 0.015 0.087 0.232 1.0e-6
5819  5005  6803  7.021 0.084 0.393 1.053 1.0e-7
7910  6803  9247  3.227 0.048 0.181 0.484 1.0e-7
10750 9247  12570 1.552 0.028 0.087 0.233 1.0e-7
14610 12570 17080 7.451 0.158 0.417 1.118 1.0e-8
19860 17080 23220 3.504 0.091 0.196 0.526 1.0e-8
27000 23220 31560 1.654 0.051 0.093 0.248 1.0e-8
36700 31560 42900 7.416 0.286 0.415 1.112 1.0e-9
49880 42900 58320 3.104 0.160 0.174 0.466 1.0e-9
67800 58320 79270 1.299 0.089 0.073 0.195 1.0e-9
