xx,yy
0.00475924,9.21248
0.00503919,10.3269
0.00531915,11.7385
0.0055991,13.2244
0.00615901,14.7845
0.00643897,16.6419
0.00671892,19.0193
0.00727884,20.951
0.00755879,23.4027
0.00783875,25.7801
0.00839866,27.9346
0.00895857,30.8321
0.00923852,32.6152
0.00979843,36.1813
0.0106383,38.5587
0.0111982,41.0847
0.0117581,43.5364
0.012318,46.211
0.0131579,47.9941
0.0139978,50.1486
0.0145577,51.7831
0.0153975,53.4175
0.0162374,54.2348
0.0167973,55.2749
0.0179171,55.9435
0.019037,56.315
0.0201568,55.9435
0.0209966,55.3492
0.0218365,56.315
0.0235162,54.3091
0.0246361,53.8633
0.0260358,52.0802
0.0271557,50.2972
0.0285554,49.3314
0.0299552,47.2511
0.0316349,45.4681
0.0338746,43.0906
0.0355543,41.2333
0.037234,39.4502
0.0394737,37.8158
0.0417133,35.8841
0.043953,33.2095
0.0464726,32.0951
0.0487122,29.792
0.0515118,28.2318
0.0543113,26.5973
0.0576708,24.8143
0.0601904,23.1055
0.0638298,21.6196
0.0674692,20.3566
0.0708287,19.0193
0.074748,17.6077
0.0786674,16.4933
0.0831467,15.2303
0.087346,13.893
0.0923852,13.1501
0.0974244,12.3328
0.102744,11.2184
0.108343,10.3269
0.113942,9.58395
0.120101,8.84101
0.12682,8.09807
0.133539,7.42942
0.140817,6.76077
0.148656,6.24071
0.156775,5.64636
0.165454,5.27489
0.174132,4.82912
0.183931,4.45765
0.193449,4.01189
0.204367,3.56612
0.215286,3.34324
0.227324,2.97177
0.239362,2.74889
0.25224,2.45171
0.266237,2.22883
0.281075,2.08024
0.295913,1.93165
