xx,yy
0.00475924,35.6353
0.00503919,45.067
0.00531915,52.7462
0.0055991,59.0143
0.00615901,70.6178
0.00643897,75.9707
0.00671892,81.1115
0.00727884,90.3008
0.00755879,94.1604
0.00783875,98.1104
0.00839866,104.571
0.00895857,110.127
0.00923852,112.389
0.00979843,116.404
0.0106383,120.732
0.0111982,122.667
0.0117581,124.059
0.012318,124.883
0.0131579,125.333
0.0139978,124.985
0.0145577,124.411
0.0153975,123.099
0.0162374,121.417
0.0167973,120.104
0.0179171,117.218
0.019037,114.059
0.0201568,110.686
0.0209966,108.169
0.0218365,105.548
0.0235162,100.437
0.0246361,97.0491
0.0260358,92.9672
0.0271557,89.791
0.0285554,85.9834
0.0299552,82.3353
0.0316349,78.1812
0.0338746,73.0681
0.0355543,69.4469
0.037234,66.1184
0.0394737,61.9401
0.0417133,58.1298
0.043953,54.6489
0.0464726,51.036
0.0487122,48.1436
0.0515118,44.7851
0.0543113,41.7876
0.0576708,38.5359
0.0601904,36.3326
0.0638298,33.466
0.0674692,30.8985
0.0708287,28.8006
0.074748,26.5712
0.0786674,24.6058
0.0831467,22.5949
0.087346,20.9248
0.0923852,19.1494
0.0974244,17.5782
0.102744,16.1279
0.108343,14.7666
0.113942,13.5772
0.120101,12.4156
0.12682,11.3099
0.133539,10.3416
0.140817,9.42041
0.148656,8.56025
0.156775,7.77821
0.165454,7.05632
0.174132,6.42419
0.183931,5.80604
0.193449,5.28426
0.204367,4.76429
0.215286,4.31662
0.227324,3.88744
0.239362,3.51896
0.25224,3.1761
0.266237,2.85614
0.281075,2.56486
0.295913,2.31391
