xx,yy
0.00523808,3079.96
0.00574878,4395.27
0.00630928,6089.25
0.00692443,8215.27
0.00759956,10822.7
0.0083405,13955.1
0.00915369,17649.3
0.0100462,21934.1
0.0110257,26830.2
0.0121006,32349.5
0.0132804,38496
0.0145753,45265.8
0.0159963,52647.7
0.017556,60624.4
0.0192676,69172.6
0.0211462,78264.7
0.0232079,87869.2
0.0254707,97951.6
0.0279541,108475
0.0306795,119402
0.0336708,130693
0.0369536,142310
0.0405565,154213
0.0445108,166365
0.0488505,178729
0.0536134,191269
0.0588406,203950
0.0645775,216741
0.0708737,229611
0.0777838,242531
0.0853676,255475
0.0936909,268417
0.102826,281335
0.112851,294207
0.123854,307015
0.135929,319740
0.149182,332367
0.163727,344881
0.179691,357271
0.19721,369524
0.216438,381630
0.237541,393582
0.2607,405370
0.286118,416989
0.314015,428434
0.344631,439698
0.378232,450780
0.415109,461676
0.455581,472383
0.5,482899
0.548749,493225
0.602252,503359
0.660971,513302
0.725414,523052
0.796141,532613
0.873764,541983
0.958955,551166
1.05245,560162
1.15506,568973
1.26768,577602
1.39128,586051
1.52693,594322
1.6758,602418
1.83919,610341
2.01851,618095
2.21531,625682
2.4313,633105
2.66835,640367
2.92851,647471
3.21404,654421
3.5274,661218
3.87132,667867
4.24877,674370
4.66302,680731
5.11766,686952
5.61662,693036
6.16423,698987
6.76524,704807
7.42484,710500
8.14875,716067
8.94325,721513
9.8152,726839
10.7722,732049
11.8224,737146
12.9751,742131
14.2402,747008
15.6286,751778
17.1523,756446
18.8247,761012
20.6601,765481
22.6744,769852
24.8851,774131
27.3114,778317
29.9742,782414
32.8967,786424
36.104,790349
39.6241,794191
43.4875,797951
47.7274,801633
