xx,yy
0.0206931,26886
0.0221521,30579.2
0.023714,34579.4
0.0253861,38889.7
0.027176,43511.5
0.0290921,48444.5
0.0311434,53686.8
0.0333392,59235
0.0356899,65084.2
0.0382064,71228.1
0.0409002,77659.3
0.0437841,84369
0.0468712,91347.6
0.050176,98584.5
0.0537139,106069
0.0575011,113788
0.0615554,121729
0.0658956,129881
0.0705418,138228
0.0755156,146759
0.0808401,155459
0.08654,164314
0.0926418,173312
0.0991738,182438
0.106166,191680
0.113652,201023
0.121665,210455
0.130244,219965
0.139427,229538
0.149258,239164
0.159782,248832
0.171048,258529
0.183108,268247
0.196019,277974
0.20984,287700
0.224635,297418
0.240474,307118
0.25743,316792
0.27558,326432
0.295011,336031
0.315812,345581
0.338079,355078
0.361917,364514
0.387435,373885
0.414752,383184
0.443996,392407
0.475302,401551
0.508814,410610
0.54469,419581
0.583095,428461
0.624208,437247
0.66822,445937
0.715335,454526
0.765773,463015
0.819766,471400
0.877566,479680
0.939442,487853
1.00568,495920
1.07659,503877
1.1525,511725
1.23376,519464
1.32075,527092
1.41387,534609
1.51356,542016
1.62028,549312
1.73453,556498
1.85683,563573
1.98775,570539
2.1279,577395
2.27793,584142
2.43855,590782
2.61049,597314
2.79455,603739
2.99159,610059
3.20252,616274
3.42832,622385
3.67005,628394
3.92882,634301
4.20583,640108
4.50238,645815
4.81984,651425
5.15967,656937
5.52348,662355
5.91293,667678
6.32984,672908
6.77615,678046
7.25392,683094
7.76538,688054
8.31291,692925
8.89904,697710
9.5265,702411
10.1982,707027
10.9173,711562
11.687,716015
12.511,720389
13.3932,724684
14.3375,728903
15.3484,733046
16.4306,737114
